OutletCode, Description, Address, ContactPerson, DisountGroupCode, RouteCode, PriceGroup, SpecialPrice , Discount, VATRates, Credit
"15023","OLAJUMOKE AYENI","PLOT 97, ANIMASHAUN ST.","234 1 2882882 / 833698","MRS AYENI","","","OLJUMOKE","0","0","ZEROVAT","0"
"15025","BRITISH EMBASSY - ETHIOPIA","P.O. BOX 858","","MS. RACHEL WATERHOUSE","","","B/EMB 2","0","0","ZEROVAT","0"
"15032","RWANDIMPEX SARL","P.O. BOX 4395","250 8301453","MR LOUIS KAMANZI","","","FOB","0","0","ZEROVAT","0"
"15034","ARIF MANJI","P.O. BOX 2162","","","","","ARIF MANJI","0","0","VAT16","0"
"15036","SPINNEYS DUBAI RETAIL","15089","971 4 5089295","MR. JULIAN ARCHER","","","SPINNEYS 0","0","0","ZEROVAT","1.3"
"15043","UPPER ZONAL TRADING LTD","P.O. BOX 8112 TECH","007 27 2504313","DAVID BULENGO","","","EXFACTORY3","0","0","","0"
"15044","AL SEER TRADING AGENCIES","","971 4 3477754","MR. YOHANAN /MR. SHANKAR","","","ALSEER0106","0","0","ZEROVAT","0"
"15048","BAMBIS PLC","15009","bambis@telecom.net.et","MR CHAR N TSIMAS","","","FOB010107","0","0","ZEROVAT","0"
"15050","AL JAZIRA COLD STORES (SEA)","P.O. BOX 26087","+973 17 740111","MR SHEKHAR RAIKAR","","","A/JAZ SEA","0","0","ZEROVAT","0.55"
"15051","KENIVOIRE (CI) SARL","BP 239 CIDEX 1","","MR W. B. O. OBURA","","","FOB","0","0","ZEROVAT","2.99"
"15052","J. N. QUAYE INVESTMENTS","P.O. BOX KA 9052","233 21 515130, 0208162957","","","","MAX MART07","0","0","NONVAT","3.14"
"15053","CAN & KAA LIMITED","P.O. BOX 15474","233 21 400746","MR KOFI A ASIEDU","","","FOB11204","0","0","ZEROVAT","0"
"15054","BRITISH EMBASSY-ERITREA","C/O LYNN TAYLOR","291 1 120145","ENID GEBRESILLASSIE","","","FOB010107","0","0","ZEROVAT","0"
"15060","EIH LIMITED (OBEROI)","UNIT : OBEROI FLIGHT SERVICES","91 11 25652681/2/3","MR SANJAI MALIK","","","OBEROI","0","0","ZEROVAT","0"
"15061","BRIGHT CHOICE LTD","","","","","","TZ 2010","0","0","ZEROVAT","0"
"15064","RESOURCES INTL. PVT LTD","75 LINK ROAD","","RAKESH BANGA","","","FOB11204","0","0","ZEROVAT","0"
"15065","INTERCONTINENTAL KIGALI","P.O. BOX 7469","250 597100","MR ALEX MWAURA","","EXPORT","FOB11204","0","0","ZEROVAT","0"
"15066","AMERICAN EMBASSY - ETHIOPIA","P.O. BOX 1014","251 1 17 49 93","","","EXPORT","FOB2010","0","0","ZEROVAT","1.74"
"15067","UNMEE MACC - EXPO SHOE FACTORY","SEMBEL","000 291 1 151908","MR. CHRIS ROWE","","","FOB150705","0","0","ZEROVAT","0"
"15068","PORKER PRODUCTS LIMITED","BELLE VUE","","MR TEDDY WONG","","","PORKER-SEA","0","0","ZEROVAT","0"
"15069","RAZIA JIVRAJ (KENYPRO)","C/O BLDG 30 JUIN","","RAZIA JIVRAJ","","EXPORT","FOB010107","0","0","ZEROVAT","3.96"
"15070","ALPHA TRADING COMPANY","P.O. BOX 297","31 416 335965","","","EXPORT","ALPHA TRAD","0","0","ZEROVAT","0"
"15071","PHILBERT JOHN","P. O. BOX 11429","","","","EXPORT","B/CHOICE 2","0","0","ZEROVAT","0"
"15072","AHMED SEIF","P. O. BOX 4067","","","","EXPORT","TZ 2010MWZ","0","0","ZEROVAT","0"
"15073","GLACIERES COUBECHE SARL","AV GEORGES POMPIDOU","253 35 10 27","MR. T. LARIGNON","","EXPORT","GLACIERES","0","0","ZEROVAT","0"
"15074","CHR - HOTEL DES MILLE COLLINES","AV DE L'ARMEE","2500830442","MR. RUI BAIAO","","","FOB150705","0","0","ZEROVAT","0"
"15075","LABADI BEACH HOTEL","P. O. BOX 1","","GARY LANE","","EXPORT","EX-FACT-$","0","0","ZEROVAT","3.05"
"15076","NAVAQUA LIMITED","P. O. BOX 24084","020 882439/270065","","","","FOB150705","0","0","NONVAT","0"
"15077","PREMIER CHOIX S.P.R.L.","52, Avenue du Commerce","","","","","FOB010107","0","0","NONVAT","0"
"15078","T. CHOITHRAMS & SONS - SEA","P.O. BOX 5249","971 4 3479974","MR. HARESH BHATIA","","EXPORT","TCS-SEA1/4","0","0","NONVAT","0"
"15079","AL HAMADI CONT. & EST.","P. O. BOX 1266 RUWI","+96824795565","MR. FLYNN DE LIMA","","EXPORT","AL HAMADI","0","0","NONVAT","0"
"15080","ASCOM S. A.","P. O. BOX 1270 - 00200","219668/210975/218869","MR. VICU DRUMEA","","EXPORT","ASCOM","0","0","NONVAT","0"
"15081","R. A. INTERNATIONAL","JUBA","","MR. AKIF KHAN","","EXPORT","R. A. INT","0","0","NONVAT","0"
"15082","SUPA SAVE LIMITED","P.O. BOX 1289","002 48 594240","KEITH DIAS","","EXPORT","SUPASAVE","0","0","NONVAT","0"
"15083","KENGELES","P.O. Box 25289","","MR. ZACK","","","KENGELES","0","0","NONVAT","0"
"15084","JUBA RAHA CAMP","P.O. BOX 19946","+254 020 2 880 000","MR. LOUIS KIKUYU","","EXPORT","SUDANFOB","0","0","NONVAT","0"
"15085","HOTEL INTRA-AFRICA - JUBA","","+254 722 743060","JOHN KIHANYA","","EXPORT","SUDANFOB07","0","0","NONVAT","0"
"15086","FREIGHT IN TIME LIMITED","","4453780","ANNE","","EXPORT","SUDANFOB07","0","0","NONVAT","0"
"15087","PALM TREE LTD.","RUMBEK","+254 020 2710399","MR. WELLINGTON OMODHO","","EXPORT","PALM TREE","0","0","NONVAT","0"
"15088","RAMADHANI ALI","P.O. BOX 5810","","","","EXPORT","TZ 2010","0","0","ZEROVAT","0"
"15089","TPS RWANDA LIMITED","P.O. BOX 7469","250 597100","MR. KHILAN SHAH","","EXPORT","TPS-RWANDA","0","0","ZEROVAT","2.37"
"15090","CITY MARKET","P.O. BOX 1276","250 517004","MR. SALIM ABDULGANI","","EXPORT","FOB010107","0","0","ZEROVAT","0"
"15091","AMY'S FAST FOOD","P.O. BOX 1276","250 517004","MR. SALIM ABDULGANI","","EXPORT","FOB010107","0","0","ZEROVAT","0"
"15092","MRS. GEETA KAPOOR","","0734 396142","","","EXPORT","SUDANFOB07","0","0","ZEROVAT","0"
"15093","S.K.R. FOODS PVT LIMITED","14 ST. JAMES COURT","","MR. RAMESH","","EXPORT","SKR","0","0","ZEROVAT","0"
"15094","AFRICA EXPEDITIONS LIMITED","JUBA","561054/457/882","","","EXPORT","AFEX","0","0","NONVAT","0"
"15095","MC HARTZ LIMITED","","+254 20 827541","CARRINGTON","","","SUDANFOB07","0","0","NONVAT","0"
"15096","ES-KO INTERNATIONAL INC.","MC 98000 MONTE CARLO","+377 97 977654","","","EXPORT","ES-KO","0","0","NONVAT","0"
"15097","NAKUMATT RWANDA LIMITED","P. O. BOX 3097","+254720606559","MR. MAKAU","","EXPORT","EX-FACT-KE","0","0","NONVAT","0"
"15098","AKAGERA BUSINESS GROUP","","+250 5 73835-7","MR. SRINIVASAN SURESH","","EXPORT","NAKUKIGALI","0","0","NONVAT","2.27"
"15099","TAMPWO HENRI","KIMBANSEKE","","","","EXPORT","FOB010107","0","0","NONVAT","0"
"151","Sahakar Limited","o/a Voyager Safari Lodge Mara","0305 22546","Accountant","00141-NRB","TSALES","","0","0","VAT16","0"
"15100","HOTEL ASMARA PALACE","P.O. BOX 5455","","MR. KIBROM TEKESTE","","EXPORT","FOB010107","0","0","ZEROVAT","3.02"
"15101","GREAT LAKES CHICKEN LTD","","+250 0830 2792","MR. OMONDI KASIDHI","","EXPORT","FOB010107","0","0","ZEROVAT","0"
"15102","EXPORT INQUIRY FOB","","","","","EXPORT","FOB010107","0","0","NONVAT","0"
"15103","AFRICAN RESOURCE GROUP LIMITED","P.O. BOX 45021","3521880","DR. MWANGALE","","","A/RESOURCE","0","0","NONVAT","0"
"15104","SOUTHERN SUDAN TRADING COMPANY","JUBA, SUDAN","+256477107713/ +254721386901","PHILOMENA N. MUTINDA/ GEORGE N","","EXPORT","SUDANFOB07","0","0","NONVAT","0"
"15105","KAYBEE EXPORTS LIMITED","18 HUSON CLOSE","+91 992 171 6364","MR. MURLI MAYA","","EXPORT","MAX MART07","0","0","NONVAT","3.27"
"15106","SOUTH SUDAN MEAT COMPANY","","","MR. ASHOK KAPOOR","","EXPORT","SSUDMEATCO","0","0","VAT16","0"
"15108","MID OCEAN NIGERIA","LAGOS","","","","EXPORT","FOB010107","0","0","NONVAT","0"
"15109","AL FAIR L.L.C.","P.O. BOX 203, pc 112","+968 24561912","SIYAK SIYALI","","EXPORT","SPINNEYS 0","0","0","NONVAT","1.5"
"15110","FLEMINGO DUTY FREE","CONGO BATIMENT COMPOUND","+254 713 754796","MR. VIPUL MATHUR","","EXPORT","FOB010107","0","0","NONVAT","2.53"
"15111","NATURE VALLEY ORGANIC FARM LTD","P. O. BOX 318","+256477251383","","99954-NVOF","EXPORT","EX-FACT-KE","0","0","NONVAT","0"
"15112","VaMP","","+249955053160","","","EXPORT","VAMP","0","0","NONVAT","0"
"15113","MAUREEN WAIRIMU KAMAU","","+254 723 167737","Ms. Maureen Wairimu Kamau","","EXPORT","FOB010107","0","0","NONVAT","0"
"15114","AMERICAN EMBASSY","BAMAKO MALI","+223 20 70 23 00","MR. JIM HAEFELE","","EXPORT","FOB010107","0","0","NONVAT","0"
"15115","BD LOGISTICS CARGO LTD","","+234 803 3221938","EMILE SEMAAN","","EXPORT","EX-FACT-$","0","0","NONVAT","3.21"
"15116","SPINNEYS DUBAI RETAIL - SEA","P.O. BOX 677","971 4 5089295","MR. HUGH ARCHIBALD","","EXPORT","ALSEER0106","0","0","NONVAT","0"
"15117","ACACIA VILLAGE","SOUTH SUDAN","+249 955150498","","","","FOB010107","0","0","NONVAT","0"
"15118","PARK N SHOP","DUBAI","+971505528340","JACK HENNESSY","","EXPORT","SPINNEYS 0","0","0","NONVAT","0"
"15119","JCN & CO. LTD","","","CAROL KATHURIMA","","EXPORT","EX-FACT-$","0","0","NONVAT","3.27"
"15120","MONACO VILLAGE","SANAA","","ROBERT KORMOCZI","","EXPORT","YEMEN","0","0","NONVAT","0"
"15121","SA HOTEL GROUP","","","MS. DEBBY LEATT","","EXPORT","FOB2010","0","0","NONVAT","2.7"
"15122","ROYAL NORWEGIAN EMBASSY ASMARA","P.O. BOX 5801","+291 1 12 21 38 / 48","JONNY OLSEN","","EXPORT","FOB010107","0","0","NONVAT","0"
"15123","SUPREME FOOD SERVICE GmbH","8866 ZIEGELBRUCKE","+97143508856","MR. GARY LEO GARRIDO","","EXPORT","FOB2010","0","0","NONVAT","0"
"15124","FOODPRO (Seychelles) Ltd","P.O.  Box 634","","","","EXPORT","FOODPRO","0","0","NONVAT","0.5"
"15125","AKAKI ANIMAL FEED PLANT P.L.C.","","+251 911 218710","FASIL TSEGAYE","","EXPORT","FOB010107","0","0","NONVAT","1.75"
"15126","ZURICH FOODSTUFF TRADING - AIR","DUBAI","+971 4 3388107","MR. M. SHANTI LAL","","EXPORT","ZURICH-AIR","0","0","NONVAT","1.3"
"15127","BARIQ COMMERCIAL BROKER","TOMPING","0732 424044","REX MAKAU","","EXPORT","FOB2010","0","0","NONVAT","0"
"15128","ALL RIGHT ENTERPRISES","","","MR. MANJI","","EXPORT","TZ 2010","0","0","NONVAT","0"
"15129","SUPA SAVE BAHRAIN W.L.L","BUILDING No.380; ROAD No.4306","+973 17 253 032","MR. PATRICK / DILEEPRAJ","","EXPORT","JAWAD","0","0","NONVAT","2.5"
"15130","ZURICH FOODSTUFF TRADING - SEA","DUBAI","+971 4 3388107","MR. M. SHANTI LAL","","EXPORT","ZURICH-SEA","0","0","NONVAT","0"
"153","M.P. Shah Hospital","P.O. Box 14497","742763","The Accountant","00153-NRB","TSALES","","0","0","VAT16","0"
"154","Oltukai Mara Limited","a/a Siana Springs Intrepids","0305 22462","The Accountant","00141-NRB","TSALES","","0","0","VAT16","0"
"155","Green Park Golf & C.C. Ltd","o/a Great Rift Valley Lodge","0311 50047/48","The Accountant","00141-NRB","TSALES","","0","0","VAT16","0"
"156","Muthaiga Country Club","P.O. Box 30181","767754","The Accountant","00156-NRB","TSALES","","0","0","VAT16","0"
"160","Nairobi Club","P.O. Box 30171","725726/7, 725719/29","The Accountant","00160-NRB","TSALES","","0","0","VAT16","0"
"161","Nakumatt Holdings-Fcl Products","P.O. Box 78355","531076/544580","","00230-NRB","VARIOUS","NAKUMATT","0","0","VAT16","0"
"164","Nanyuki Sports Club","P.O. Box 139","","The Accountant","00164-UPC","NYERI","UPC","0","0","VAT16","0"
"165","Nairobi Hospital","P.O. Box 30026","722160","","00165-NRB","TSALES","","0","0","VAT16","0"
"168","New Blue Post Hotel","P.O. Box 42","0151-22589/22181/22241","The Accountant","00168-NRB","PR I","","0","0","VAT16","0"
"171","New Stanley Hotel","P.O. Box 30680","333233","The Financial Controller","00523-NRB","TSALES","","0","0","VAT16","0"
"172","Neptune Hotels","P.O. Box 83125","011-485701-3","The Financial Controller","00172-UPC","MSA - SHA","COAST","0","0","VAT16","0"
"175","Nyanza Enterprises Ltd.","P.O. Box 112","035-42563, 40332","Director - Mr. Raju","00175-UPC","NYANZA","UPC","0","0","VAT16","0"
"179","Innscor Kenya Bellevue Complex","P.O. Box 27724","650811-4","The Accountant","00119-NRB","VARIOUS","","0","0","VAT16","0"
"181","Ocean Sports Ltd.","P.o. Box 100","0122-32288","The Accountant","00181-UPC","MSA - N.C","COAST","0","0","VAT16","0"
"182","Mr. Arif Manji","","","The Accountant","","TSALES","ARIF MANJI","0","0","VAT16","0"
"184","Panafric  Hotel","P.o. Box 30486","720822 , 716688","The Accountant","00523-NRB","TSALES","","0","0","VAT16","0"
"185","Pembroke School","P.o. Box 31","0367-5450","The Bursar","00185-UPC","NAIVASHA","","0","0","VAT16","0"
"186","Peponi Hotel","P.o. Box 24","0121-33154","The Accountant","00183-UPC","MSA - I.A","COAST","0","0","VAT16","0"
"187","Royal Nairobi Golf Club","P.o. Box 40221","725769","The Accountant","00187-NRB","HURL","","0","0","VAT16","0"
"190257","","","","The Accountant","","","","0","0","","0"
"192","Rift Valley Academy","P.o. Box 80","0154-64646, 64435","The Accountant","00192-NRB","TSALES","","0","0","VAT16","0"
"194","Baobab Beach Resort - Diani","P.o. Box 32","0127-2026/7/8","The Accountant","00194-UPC","MSA - S.C","COAST","0","0","VAT16","0"
"197","Serena Lodges & Hotels","P.o. Box 48690","","The Accountant","00195-NRB","TSALES","","0","0","VAT16","0"
"199","Severin Sea Lodges","P.o. Box 82169","011-187363/4","The Financial Controller","00199-UPC","MSA - SHA","COAST","0","0","VAT16","0"
"200","Elsa's Kopje Ltd","Umbali Ltd","603090/1","The Accountant","00132-NRB","TSALES","","0","0","VAT16","0"
"202","Sainsbury Stores","P.O. Box 25017","562612","The Accountant","","VARIOUS","","0","0","VAT16","0"
"203","TML/Tamambo","P.O. Box 1131","448064/448394/5","The Accountant","00203-NRB","TSALES","","0","0","VAT16","0"
"205","Silver Springs Hotel","P.O.Box 61362","722451/3","The Accountant","00205-NRB","TSALES","","0","0","VAT16","0"
"206","Cheli & Peacock Management Ltd","","","The Accountant","00132-NRB","TSALES","","0","0","VAT16","0"
"207","The Panari Hotel","P.O. BOX 4372-0506","533396/828990/3","The Accountant","98835-NRB","TSALES","","0","0","VAT16","0"
"208","KPLC Training School","P.P. BOX 30099","8563349/8563163","The Accountant","","TSALES","","0","0","VAT16","0"
"21","Boulevard Hotel","P.O. Box 42831","227567/8/9","The Accountant","00021-NRB","TSALES","","0","0","VAT16","0"
"210","Oserian Development Co. Ltd","P.O. BOX 209","05020-30210","The Accountant","95017-UPC","NAIVASHA","UPC","0","0","VAT16","0"
"212","Gauchos Limited","P . O Box 14215 NAIROBI","3544037","The Accountant","93856-NRB","TSALES","","0","0","VAT16","0"
"214","Nairobi Y.M.C.A Hostels","","","The Accountant","95005-NRB","VARIOUS","","0","0","VAT16","0"
"215","Zen Garden","","","The Accountant","","TSALES","","0","0","VAT16","0"
"216","Taita Hills  & Salt Lick","P.O. Box 30624","","The Accountant","00216-UPC","MSA - TSV","COAST","0","0","VAT16","0"
"217","Thika Sports Club","257","0151-31088 21101","The Accountant","00217-NRB","PR I","","0","0","VAT16","0"
"218","Nairobi Java House","P.O. BOX 21533 00505","4452273","The Accountant","91699-NRB","VARIOUS","","0","0","VAT16","0"
"219","Ol Tukai Lodge","P.O. Box 45402 GPO 00100","4448419","The Accountant","94254-NRB","TSALES","","0","0","VAT16","0"
"223","Trattoria Restaurant","P.O. Box 30473","240212","The Accountant","00223-NRB","TSALES","","0","0","VAT16","0"
"224","Triad Architect","P.O. Box 30725","749655","The Accountant","","TSALES","","0","0","VAT16","0"
"225","TML/Tamarind Nairobi","P.O. Box 74493","338959/220473","The Accountant","00026-NRB","TSALES","","0","0","VAT16","0"
"226","Nairobi Java House - 748 Lokic","P.O. BOX 21533 00505","","The Accountant","00226-NRB","TSALES","","0","0","VAT16","0"
"227","AUST ANG CATERING LTD","P. O Box 75070 00200 Nairobi","0203505815","The Accountant","","TSALES","","0","0","VAT16","0"
"228","TML/Tamarind Mombasa","P.O. Box 85785","011-474600/1/2/10,471729","The Accountant","00228-UPC","MSA - I.A","COAST","0","0","VAT16","0"
"23","Brackenhurst Holdings Ltd","P.O. Box 32","0154-40777,40814,40119","The Accountant","00023-NRB","PR III","","0","0","VAT16","0"
"232","U.S. International University","p.o box14634","861940","The Accountant","00232-NRB","TSALES","","0","0","VAT16","0"
"237","Nairobi Women Hospital","","","The Accountant","95375-NRB","HURL","","0","0","VAT16","0"
"238","Beach Sand Sun Ltd - Diani","c/o Nomad","","The Accountant","91226-UPC","MSA - S.C","COAST","0","0","VAT16","0"
"240","Naivasha Self Service Stores","P.O Box 61600 -00200","0311-30483","The Accountant","92748-NRB","VARIOUS","KKKK","0","0","VAT16","0"
"241","Whitesands Hotel","P.o. Box 90173","041-487344, 485926/7/8/9","The Accountant","00523-NRB","MSA - SHA","COAST","0","0","VAT16","0"
"242","Italian Market (K) Limited","","","The Accountant","00242-NRB","F/MEAT 2","","0","0","VAT16","0"
"243","Huawei Technologies (Kenya)","","","The Accountant","","TSALES","","0","0","VAT16","0"
"244","Logali House","","","The Accountant","97193-NRB","TSALES","","0","0","VAT16","0"
"245","LEMOC  LTD.","","","The Accountant","","VARIOUS","KENINVEST","0","0","VAT16","0"
"247","Nyali International Beach Htl","","011-471551, 471567","The Accountant","91909-UPC","MSA - SHA","COAST","0","0","VAT16","0"
"248","Crowne Plaza Hotel","P. O Box 25574 - 00100","","The Accountant","00084-NRB","TSALES","","0","0","VAT16","0"
"249","Sunbird Lodge Ltd -Elementaita","P. O Box 13932  - 20100 Nakuru","020-8000075","The Accountant","96835-UPC","RIFT","UPC","0","0","VAT16","0"
"250","Riara Enterprises ltd","P.O. Box 21389, 00505","020 574409","Financial Controller","93381-NRB","VARIOUS","ABC5","0","0","VAT16","0"
"251","Utalii","P.o. Box 31067","802540","The Financial Controller","00251-NRB","TSALES","","0","0","VAT16","0"
"252","Southern Sun Mayfair, Nairobi","","3740920/1","The Accountant","00355-NRB","TSALES","","0","0","VAT16","0"
"254","K.C.B Institute of Banking","P.o. Box 24030","882021/4","The Accountant","00254-NRB","MIX III","","0","0","VAT16","0"
"255","CREEK PROPERTIES LTD","P.O. BOX 1008","","The Accountant","00255-MSA","MSA - N.C","COAST","0","0","VAT16","0"
"256","Nas Airport Services (NRB)","P.o. Box 19010","824100","The Accountant","00166-NRB","TSALES","","0","0","VAT16","0"
"257","Nas  Airport Services (MSA)","P.o. Box 93901","011-433321/4 , 433198","The Accountant","00166-NRB","MSA - I.A","","0","0","VAT16","0"
"259","Kenpat International Ltd","P.O Box 48180 -00100 NBI","020 6009394","The Accountant","00259-NRB","TSALES","","0","0","VAT16","0"
"26","TML / The carnivore","P.O. Box 56685","501777, 501706/7","The Accountant","00026-NRB","TSALES","","0","0","VAT16","0"
"260","Aberdare Safari Hotel","","","The Accountant","94588-UPC","VARIOUS","","0","0","VAT16","0"
"260.","","","","","","","","0","0","","0"
"261","EnnsValley Bakery Ltd","P.O. Box 75070","020-2090920","Finance Manager","93412-NRB","MCKS","","0","0","VAT16","0"
"265","Tesco Corporation Ltd","P.O. Box 78338 -00507","650702/3","The Accountant","00229-NRB","VARIOUS","UCHUMI","0","0","VAT16","0"
"267","International Bible Students","","722,679,573,211","The Accountant","00267-NRB","TSALES","","0","0","VAT16","0"
"275","Kate  Camp Ltd","P.O. BOX 19946","0722714600/578100/568718","The Accountant","92047-NRB","TSALES","","0","0","VAT16","0"
"280","Chandarana S/mkt Ltd - Mobil","","Anil/Samon","The Accountant","90259-NRB","VARIOUS","KKKK","0","0","VAT16","0"
"281","Chandarana S/mkt Ltd - Yaya","","Anil/Samon","The Accountant","90259-NRB","VARIOUS","KKKK","0","0","VAT16","0"
"282","AIC Bethany Crippled Children","","","The Accountant","","TSALES","","0","0","VAT16","0"
"283","Chandarana S/mkt Ltd - ABC","","Anil/Samon","The Accountant","90259-NRB","VARIOUS","KKKK","0","0","VAT16","0"
"285","Virgin Spirit Travel Ltd","","250090/1/2/3","The Accountant","","TSALES","","0","0","VAT16","0"
"286","Chandarana S/mkt Ltd - Diani","","","The Accountant","90259-NRB","MSA - S.C","KKKK","0","0","VAT16","0"
